2025-08-30 16:47:52.100 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ARB/USDT: Cambio -0.10%, Volumen 14.96x, Precio $0.496700
2025-08-30 16:47:52.100 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 5/50: ATOM/USDT
2025-08-30 16:47:52.350 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ATOM/USDT: Cambio -0.22%, Volumen 6.94x, Precio $4.493000
2025-08-30 16:47:52.351 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 6/50: AVAX/USDT
2025-08-30 16:47:52.606 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando AVAX/USDT: Cambio -0.04%, Volumen 0.00x, Precio $23.790000
2025-08-30 16:47:52.614 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 7/50: BNB/USDT
2025-08-30 16:47:52.863 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BNB/USDT: Cambio 0.11%, Volumen 0.00x, Precio $858.500000
2025-08-30 16:47:52.864 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 8/50: BONK/USDT
2025-08-30 16:47:53.538 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BONK/USDT: Cambio -0.84%, Volumen 0.00x, Precio $0.000022
2025-08-30 16:47:53.539 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 9/50: BTC/USDT
2025-08-30 16:47:53.775 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BTC/USDT: Cambio 0.12%, Volumen 0.45x, Precio $108859.660000
2025-08-30 16:47:53.776 | INFO     | celery_app:scan_pumps:136 - ✅ Escaneo de pumps completado: 0 pumps detectados de 9 símbolos analizados
2025-08-30 16:48:13.207 | INFO     | celery_app:scan_pumps:73 - 🚀 Iniciando escaneo de Pumps...
2025-08-30 16:48:18.913 | INFO     | celery_app:scan_pumps:88 - 📊 Obtenidos 9 símbolos para análisis de pumps
2025-08-30 16:48:18.914 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 1/50: AAVE/USDT
2025-08-30 16:48:19.153 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando AAVE/USDT: Cambio 0.10%, Volumen 0.00x, Precio $315.710000
2025-08-30 16:48:19.154 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 2/50: ADA/USDT
2025-08-30 16:48:19.403 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ADA/USDT: Cambio -0.11%, Volumen 5.97x, Precio $0.821900
2025-08-30 16:48:19.404 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 3/50: ALGO/USDT
2025-08-30 16:48:20.070 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ALGO/USDT: Cambio -0.09%, Volumen 0.00x, Precio $0.232600
2025-08-30 16:48:20.071 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 4/50: ARB/USDT
2025-08-30 16:48:20.311 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ARB/USDT: Cambio 0.18%, Volumen 0.00x, Precio $0.496700
2025-08-30 16:48:20.311 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 5/50: ATOM/USDT
2025-08-30 16:48:20.972 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ATOM/USDT: Cambio -0.22%, Volumen 0.00x, Precio $4.493000
2025-08-30 16:48:20.973 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 6/50: AVAX/USDT
2025-08-30 16:48:21.216 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando AVAX/USDT: Cambio -0.04%, Volumen 0.00x, Precio $23.790000
2025-08-30 16:48:21.216 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 7/50: BNB/USDT
2025-08-30 16:48:21.896 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BNB/USDT: Cambio 0.15%, Volumen 0.00x, Precio $858.500000
2025-08-30 16:48:21.898 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 8/50: BONK/USDT
2025-08-30 16:48:22.148 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BONK/USDT: Cambio -0.84%, Volumen 0.00x, Precio $0.000022
2025-08-30 16:48:22.148 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 9/50: BTC/USDT
2025-08-30 16:48:22.392 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BTC/USDT: Cambio 0.15%, Volumen 0.86x, Precio $108859.650000
2025-08-30 16:48:22.393 | INFO     | celery_app:scan_pumps:136 - ✅ Escaneo de pumps completado: 0 pumps detectados de 9 símbolos analizados
2025-08-30 16:48:43.194 | INFO     | celery_app:scan_pumps:73 - 🚀 Iniciando escaneo de Pumps...
2025-08-30 16:48:50.289 | INFO     | celery_app:scan_pumps:88 - 📊 Obtenidos 9 símbolos para análisis de pumps
2025-08-30 16:48:50.293 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 1/50: AAVE/USDT
2025-08-30 16:48:50.537 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando AAVE/USDT: Cambio 0.10%, Volumen 0.00x, Precio $315.710000
2025-08-30 16:48:50.538 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 2/50: ADA/USDT
2025-08-30 16:48:51.214 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ADA/USDT: Cambio -0.11%, Volumen 5.97x, Precio $0.821900
2025-08-30 16:48:51.215 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 3/50: ALGO/USDT
2025-08-30 16:48:51.884 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ALGO/USDT: Cambio -0.17%, Volumen 5.00x, Precio $0.232400
2025-08-30 16:48:51.885 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 4/50: ARB/USDT
2025-08-30 16:48:52.566 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ARB/USDT: Cambio 0.18%, Volumen 0.00x, Precio $0.496700
2025-08-30 16:48:52.567 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 5/50: ATOM/USDT
2025-08-30 16:48:52.815 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando ATOM/USDT: Cambio -0.22%, Volumen 0.00x, Precio $4.493000
2025-08-30 16:48:52.817 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 6/50: AVAX/USDT
2025-08-30 16:48:53.062 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando AVAX/USDT: Cambio -0.04%, Volumen 0.00x, Precio $23.790000
2025-08-30 16:48:53.062 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 7/50: BNB/USDT
2025-08-30 16:48:53.730 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BNB/USDT: Cambio 0.12%, Volumen 0.03x, Precio $858.240000
2025-08-30 16:48:53.731 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 8/50: BONK/USDT
2025-08-30 16:48:54.417 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BONK/USDT: Cambio -0.84%, Volumen 0.00x, Precio $0.000022
2025-08-30 16:48:54.418 | INFO     | celery_app:scan_pumps:96 - 🔍 Analizando pump 9/50: BTC/USDT
2025-08-30 16:48:55.104 | INFO     | strategies.pump_detector:detect_pump:40 - 🔍 Analizando BTC/USDT: Cambio 0.15%, Volumen 0.86x, Precio $108859.660000
2025-08-30 16:48:55.105 | INFO     | celery_app:scan_pumps:136 - ✅ Escaneo de pumps completado: 0 pumps detectados de 9 símbolos analizados
2025-08-30 16:49:13.209 | INFO     | celery_app:scan_pumps:73 - 🚀 Iniciando escaneo de Pumps...
2025-08-30 16:49:20.241 | INFO     | celery_app:scan_pumps:88 - 📊 Obtenidos 9 símbolos para análisis de pumps
